,Ano,Distrito,Inscritos,Votantes,Brancos,Nulos,Partido,Votos,Mandatos,Percentual,Abstenção,Inscritos_totais,abstenção_totais,Sondagem
2621,2025,Aveiro,642086,423734,7030,4528,AD,148861,7,0.385,0.340066595,10850615,0.4016,0
2622,2025,Aveiro,642086,423734,7030,4528,BE,17383,0,0.0036,0.340066595,10850615,0.4016,0
2623,2025,Aveiro,642086,423734,7030,4528,CDU,5829,0,0.0085,0.340066595,10850615,0.4016,0
2624,2025,Aveiro,642086,423734,7030,4528,CH,73122,3,0.17,0.340066595,10850615,0.4016,0
2625,2025,Aveiro,642086,423734,7030,4528,IL,21671,1,0.05,0.340066595,10850615,0.4016,0
2626,2025,Aveiro,642086,423734,7030,4528,L,9519,0,0.024,0.340066595,10850615,0.4016,0
2627,2025,Aveiro,642086,423734,7030,4528,PAN,7302,0,0.0014,0.340066595,10850615,0.4016,0
2628,2025,Aveiro,642086,423734,7030,4528,PS,117369,5,0.2828,0.340066595,10850615,0.4016,0
2629,2025,Beja,119102,76994,1172,935,AD,12890,1,0.187,0.3535457,10850615,0.4016,0
2630,2025,Beja,119102,76994,1172,935,BE,3393,0,0.0036,0.3535457,10850615,0.4016,0
2631,2025,Beja,119102,76994,1172,935,CDU,11570,0,0.1275,0.3535457,10850615,0.4016,0
2632,2025,Beja,119102,76994,1172,935,CH,16595,1,0.22,0.3535457,10850615,0.4016,0
2633,2025,Beja,119102,76994,1172,935,IL,1708,0,0.02,0.3535457,10850615,0.4016,0
2634,2025,Beja,119102,76994,1172,935,L,1369,0,0.024,0.3535457,10850615,0.4016,0
2635,2025,Beja,119102,76994,1172,935,PAN,943,0,0.0007,0.3535457,10850615,0.4016,0
2636,2025,Beja,119102,76994,1172,935,PS,24408,1,0.3232,0.3535457,10850615,0.4016,0
2637,2025,Braga,780164,556358,9590,5162,AD,184493,8,0.363,0.286870453,10850615,0.4016,0
2638,2025,Braga,780164,556358,9590,5162,BE,21403,0,0.0036,0.286870453,10850615,0.4016,0
2639,2025,Braga,780164,556358,9590,5162,CDU,10130,0,0.017,0.286870453,10850615,0.4016,0
2640,2025,Braga,780164,556358,9590,5162,CH,93859,4,0.17,0.286870453,10850615,0.4016,0
2641,2025,Braga,780164,556358,9590,5162,IL,33935,1,0.06,0.286870453,10850615,0.4016,0
2642,2025,Braga,780164,556358,9590,5162,L,12928,0,0.024,0.286870453,10850615,0.4016,0
2643,2025,Braga,780164,556358,9590,5162,PAN,7936,0,0.0007,0.286870453,10850615,0.4016,0
2644,2025,Braga,780164,556358,9590,5162,PS,157123,6,0.2828,0.286870453,10850615,0.4016,0
2645,2025,Bragança,134213,72664,892,966,AD,29069,2,0.44,0.45859194,10850615,0.4016,0
2646,2025,Bragança,134213,72664,892,966,BE,1403,0,0.0018,0.45859194,10850615,0.4016,0
2647,2025,Bragança,134213,72664,892,966,CDU,774,0,0.0085,0.45859194,10850615,0.4016,0
2648,2025,Bragança,134213,72664,892,966,CH,13220,0,0.18,0.45859194,10850615,0.4016,0
2649,2025,Bragança,134213,72664,892,966,IL,1241,0,0.02,0.45859194,10850615,0.4016,0
2650,2025,Bragança,134213,72664,892,966,L,727,0,0.012,0.45859194,10850615,0.4016,0
2651,2025,Bragança,134213,72664,892,966,PAN,598,0,0.0007,0.45859194,10850615,0.4016,0
2652,2025,Bragança,134213,72664,892,966,PS,21539,1,0.303,0.45859194,10850615,0.4016,0
2653,2025,Castelo Branco,163578,108260,1530,1447,AD,30812,1,0.308,0.33817506,10850615,0.4016,0
2654,2025,Castelo Branco,163578,108260,1530,1447,BE,4450,0,0.0036,0.33817506,10850615,0.4016,0
2655,2025,Castelo Branco,163578,108260,1530,1447,CDU,2373,0,0.017,0.33817506,10850615,0.4016,0
2656,2025,Castelo Branco,163578,108260,1530,1447,CH,21141,1,0.2,0.33817506,10850615,0.4016,0
2657,2025,Castelo Branco,163578,108260,1530,1447,IL,2961,0,0.03,0.33817506,10850615,0.4016,0
2658,2025,Castelo Branco,163578,108260,1530,1447,L,2172,0,0.024,0.33817506,10850615,0.4016,0
2659,2025,Castelo Branco,163578,108260,1530,1447,PAN,1427,0,0.0007,0.33817506,10850615,0.4016,0
2660,2025,Castelo Branco,163578,108260,1530,1447,PS,37067,2,0.3434,0.33817506,10850615,0.4016,0
2661,2025,Coimbra,371769,242140,4797,2558,AD,74040,3,0.341,0.348681574,10850615,0.4016,0
2662,2025,Coimbra,371769,242140,4797,2558,BE,12371,0,0.0045,0.348681574,10850615,0.4016,0
2663,2025,Coimbra,371769,242140,4797,2558,CDU,6819,0,0.0255,0.348681574,10850615,0.4016,0
2664,2025,Coimbra,371769,242140,4797,2558,CH,37428,2,0.15,0.348681574,10850615,0.4016,0
2665,2025,Coimbra,371769,242140,4797,2558,IL,9592,0,0.04,0.348681574,10850615,0.4016,0
2666,2025,Coimbra,371769,242140,4797,2558,L,6890,0,0.036,0.348681574,10850615,0.4016,0
2667,2025,Coimbra,371769,242140,4797,2558,PAN,3839,0,0.0014,0.348681574,10850615,0.4016,0
2668,2025,Coimbra,371769,242140,4797,2558,PS,79120,4,0.3333,0.348681574,10850615,0.4016,0
2669,2025,Évora,133400,89387,1252,791,AD,20051,1,0.242,0.329932534,10850615,0.4016,0
2670,2025,Évora,133400,89387,1252,791,BE,3816,0,0.0036,0.329932534,10850615,0.4016,0
2671,2025,Évora,133400,89387,1252,791,CDU,9771,0,0.0935,0.329932534,10850615,0.4016,0
2672,2025,Évora,133400,89387,1252,791,CH,17850,1,0.2,0.329932534,10850615,0.4016,0
2673,2025,Évora,133400,89387,1252,791,IL,2228,0,0.02,0.329932534,10850615,0.4016,0
2674,2025,Évora,133400,89387,1252,791,L,1774,0,0.024,0.329932534,10850615,0.4016,0
2675,2025,Évora,133400,89387,1252,791,PAN,1001,0,0.0007,0.329932534,10850615,0.4016,0
2676,2025,Évora,133400,89387,1252,791,PS,29310,1,0.3333,0.329932534,10850615,0.4016,0
2677,2025,Faro,381108,235351,3401,2650,AD,52681,3,0.242,0.382455892,10850615,0.4016,0
2678,2025,Faro,381108,235351,3401,2650,BE,13555,0,0.0054,0.382455892,10850615,0.4016,0
