Ano;Distrito;Inscritos;Votantes;Brancos;Nulos;Partido;Votos;Mandatos;Percentual;Abstenção;Inscritos_totais;abstenção_totais;Sondagem;Cor
Histórico;Aveiro;642080,0;405512,0;11055,0;6243,0;PAN;8941,0;0,0;0,022000000000000002;0,34149999999999997;10850615;0,44;0,0;#01796F
Histórico;Aveiro;642080,0;405512,0;11055,0;6243,0;L;6814,0;0,0;0,0168;0,34149999999999997;10850615;0,44;0,0;#00AB39
Histórico;Aveiro;642080,0;405512,0;11055,0;6243,0;JPP;2482,0;0,0;0,0060999999999999995;0,34149999999999997;10850615;0,44;0,0;#009285
Histórico;Beja;118328,0;73266,0;1695,0;1124,0;PS;25134,0;2,0;0,3431;0,35700000000000004;10850615;0,44;0,0;#F1515E
Histórico;Beja;118328,0;73266,0;1695,0;1124,0;CDU;13897,0;1,0;0,18969999999999998;0,35700000000000004;10850615;0,44;0,0;#950B0B
Histórico;Beja;118328,0;73266,0;1695,0;1124,0;AD;11890,0;0,0;0,1623;0,35700000000000004;10850615;0,44;0,0;#FF890C
Histórico;Beja;118328,0;73266,0;1695,0;1124,0;CH;11877,0;0,0;0,16210000000000002;0,35700000000000004;10850615;0,44;0,0;#202056
Histórico;Beja;118328,0;73266,0;1695,0;1124,0;BE;3768,0;0,0;0,051399999999999994;0,35700000000000004;10850615;0,44;0,0;#AB1983
Histórico;Beja;118328,0;73266,0;1695,0;1124,0;Outros;2619,0;0,0;0,035699999999999996;0,35700000000000004;10850615;0,44;0,0;#ebedf0
Histórico;Beja;118328,0;73266,0;1695,0;1124,0;IL;1605,0;0,0;0,0219;0,35700000000000004;10850615;0,44;0,0;#00AEEF
Histórico;Beja;118328,0;73266,0;1695,0;1124,0;L;1435,0;0,0;0,0196;0,35700000000000004;10850615;0,44;0,0;#00AB39
Histórico;Beja;118328,0;73266,0;1695,0;1124,0;PAN;952,0;0,0;0,013000000000000001;0,35700000000000004;10850615;0,44;0,0;#01796F
Histórico;Beja;118328,0;73266,0;1695,0;1124,0;JPP;88,0;0,0;0,0012;0,35700000000000004;10850615;0,44;0,0;#009285
Histórico;Braga;782401,0;532535,0;14540,0;7960,0;AD;188516,0;8,0;0,354;0,29059999999999997;10850615;0,44;0,0;#FF890C
Histórico;Braga;782401,0;532535,0;14540,0;7960,0;PS;164492,0;7,0;0,3089;0,29059999999999997;10850615;0,44;0,0;#F1515E
Histórico;Braga;782401,0;532535,0;14540,0;7960,0;CH;75237,0;3,0;0,1413;0,29059999999999997;10850615;0,44;0,0;#202056
Histórico;Braga;782401,0;532535,0;14540,0;7960,0;BE;33972,0;1,0;0,0638;0,29059999999999997;10850615;0,44;0,0;#AB1983
Histórico;Braga;782401,0;532535,0;14540,0;7960,0;CDU;21706,0;0,0;0,0408;0,29059999999999997;10850615;0,44;0,0;#950B0B
Histórico;Braga;782401,0;532535,0;14540,0;7960,0;Outros;16167,0;0,0;0,0304;0,29059999999999997;10850615;0,44;0,0;#ebedf0
Histórico;Braga;782401,0;532535,0;14540,0;7960,0;L;12605,0;0,0;0,023700000000000002;0,29059999999999997;10850615;0,44;0,0;#00AB39
Histórico;Braga;782401,0;532535,0;14540,0;7960,0;IL;9836,0;0,0;0,018500000000000003;0,29059999999999997;10850615;0,44;0,0;#00AEEF
Histórico;Braga;782401,0;532535,0;14540,0;7960,0;PAN;8818,0;0,0;0,0166;0,29059999999999997;10850615;0,44;0,0;#01796F
Histórico;Braga;782401,0;532535,0;14540,0;7960,0;JPP;1187,0;0,0;0,0022;0,29059999999999997;10850615;0,44;0,0;#009285
Histórico;Bragança;132779,0;62051,0;1436,0;1415,0;AD;24068,0;2,0;0,38789999999999997;0,5112;10850615;0,44;0,0;#FF890C
